id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
86281938,456102,468543,7,0.73,0.98,3.42,3.67,4.16,2.69,2.69,5.13,4.89,8.31,15.89,8.31,8.56,13.94,0.73,1.22,2.2,3.18,2.2,1.47,3.42,4.16,4.16,7.09,7.33,9.53,9.05,12.71,151.82,47210610,20230215
86281939,456102,468593,23,0.8,2.39,3.39,3.39,5.59,4.19,2.59,5.59,5.98,9.38,11.97,7.18,10.77,14.56,1.2,1.4,3.39,3.79,2.19,1.0,4.39,3.39,8.38,9.58,7.98,8.18,12.37,15.16,170.17,47210610,20230205
86294127,456152,468543,22,0.61,2.85,5.9,4.07,5.69,4.68,3.05,8.74,8.34,12.0,13.63,10.57,10.57,17.49,1.22,1.22,4.68,4.88,4.27,1.02,4.47,3.46,8.95,9.56,10.78,11.18,11.39,17.89,203.16,47210610,20230212
86294129,456152,468643,6,0.84,1.67,4.73,3.62,3.62,3.62,0.83,4.73,4.73,6.12,8.35,6.4,8.35,9.18,0.56,0.56,2.5,2.5,2.23,0.83,2.5,1.67,3.34,5.84,6.68,8.35,5.01,9.45,118.81,47210610,20230216
86294129,456152,468643,18,1.97,4.21,5.9,10.39,8.71,6.74,4.5,9.55,17.14,17.7,24.16,19.1,20.79,28.66,1.69,3.65,6.74,5.9,7.87,4.5,6.46,8.43,12.64,16.01,16.29,21.91,14.33,23.6,329.54,47210610,20230204
86269750,456052,468593,22,0.84,2.95,6.32,3.37,4.42,5.26,3.16,8.21,7.79,14.11,14.95,12.0,9.27,18.74,1.68,2.11,4.42,4.42,4.63,2.95,5.05,4.21,9.06,10.11,13.48,13.48,13.27,17.48,217.74,47210610,20230224
86281939,456102,468593,22,1.2,3.19,5.18,3.39,5.58,4.39,2.79,5.98,7.58,10.77,13.96,7.78,9.77,17.53,1.4,1.99,4.59,4.78,2.99,3.19,5.58,4.19,7.97,11.36,8.97,11.16,9.77,16.35,193.38,47210610,20230226
86294126,456152,468493,9,1.03,2.06,3.5,3.7,3.7,2.67,3.29,5.76,6.17,10.7,12.14,8.43,8.23,14.61,0.41,1.65,2.67,4.32,2.67,2.67,2.88,4.11,6.38,9.46,9.67,9.46,9.87,12.96,165.17,47210610,20230226
86294126,456152,468493,22,0.62,2.88,4.73,4.53,6.79,4.73,2.47,6.17,7.82,11.31,13.99,8.23,11.52,16.46,1.23,1.44,3.91,5.14,3.7,1.23,4.53,3.5,9.67,10.7,9.67,8.64,12.75,17.49,195.85,47210610,20230205
86294126,456152,468493,23,0.82,2.47,3.5,3.5,5.76,4.32,2.67,5.76,6.17,9.67,12.34,7.41,11.11,15.02,1.23,1.44,3.5,3.91,2.26,1.03,4.53,3.5,8.64,9.87,8.23,8.43,12.75,15.64,175.48,47210610,20230205
86294127,456152,468543,18,1.22,3.25,3.46,4.27,9.15,5.9,3.66,6.51,12.61,17.29,18.3,11.8,13.63,17.49,1.02,2.24,5.08,4.88,7.73,2.64,4.68,5.49,12.81,16.07,9.36,14.64,13.02,19.12,247.32,47210610,20230218
86294129,456152,468643,5,0.84,0.84,3.09,4.21,2.81,2.81,1.97,4.78,5.06,6.46,7.02,6.74,4.78,7.3,0.56,1.4,1.12,1.97,1.4,1.4,1.4,3.09,2.25,7.87,5.62,7.02,3.93,8.15,105.89,47210610,20230204
86294129,456152,468643,13,1.41,2.81,8.43,6.18,7.87,5.34,2.53,6.74,11.8,14.33,17.7,15.17,16.02,21.64,1.12,2.53,5.34,6.46,9.27,3.09,5.62,7.31,10.4,14.33,13.77,15.17,14.89,22.48,269.75,47210610,20230212
86025996,455052,469893,20,0.45,2.31,4.92,3.95,2.98,2.68,3.13,3.57,4.99,6.03,4.92,5.66,4.32,6.48,0.52,1.79,1.94,2.09,2.01,2.09,2.83,3.8,3.35,4.92,4.99,5.44,5.51,7.45,105.12,47210550,20230215
86294127,456152,468543,22,0.2,2.03,4.07,5.9,4.68,2.85,2.85,7.12,7.32,12.0,10.78,11.19,8.34,14.44,0.81,1.22,5.29,4.07,4.88,2.24,4.88,4.47,8.14,11.8,12.0,10.58,9.97,16.28,190.4,47210610,20230203
86294128,456152,468593,12,0.39,1.53,1.15,1.82,3.83,2.49,2.11,4.31,3.07,6.52,7.67,4.89,4.98,6.99,0.29,1.05,2.4,2.78,2.11,2.3,1.34,3.35,5.75,6.71,4.7,4.89,5.56,6.52,101.5,47210610,20230214
86294129,456152,468643,9,0.56,1.4,6.14,6.7,5.3,8.09,4.74,8.65,10.88,12.28,22.05,10.05,13.95,14.52,1.12,3.07,2.23,4.47,4.74,3.63,4.47,7.53,13.95,10.6,10.33,13.67,13.95,21.2,240.27,47210610,20230209
86294129,456152,468643,11,0.84,1.95,3.35,6.14,6.69,6.42,5.86,13.39,12.55,17.85,21.2,15.62,13.67,20.63,1.39,2.51,5.86,7.81,6.69,5.3,5.58,7.53,15.9,18.41,14.22,15.06,20.36,20.64,293.42,47210610,20230208
85843146,454302,469143,22,2.38,1.36,4.41,4.75,3.4,7.13,0.68,3.73,5.43,7.13,3.4,3.4,0.68,2.38,1.36,2.38,5.09,4.07,2.72,4.07,4.07,8.49,6.79,9.85,2.72,3.06,2.04,1.02,107.99,47210630,20230223
85843147,454302,469193,22,1.31,3.28,5.91,7.88,4.6,8.54,5.26,9.85,10.51,14.45,7.88,6.57,3.28,1.97,3.29,4.6,8.54,5.91,2.63,7.88,10.51,17.08,10.51,17.74,4.6,3.28,2.63,2.63,193.12,47210630,20230205
85891879,454502,467993,18,1.23,4.6,3.7,3.08,2.99,4.03,4.03,6.21,4.7,5.26,4.27,3.94,1.99,3.46,1.57,4.74,3.84,3.7,3.79,3.32,3.79,5.26,7.87,7.16,4.55,4.51,2.04,3.26,112.89,47210620,20230216
86269750,456052,468593,21,0.42,3.38,6.76,6.76,8.03,5.91,3.38,6.76,7.39,15.21,16.69,11.83,9.5,20.28,1.06,2.32,5.7,4.86,4.01,1.69,6.13,5.07,10.35,15.21,11.19,11.83,11.83,19.23,232.78,47210610,20230215
86281939,456102,468593,7,0.6,0.81,2.22,2.62,3.83,3.02,1.61,4.03,5.24,8.46,7.05,7.45,7.85,8.65,1.21,0.4,1.41,1.81,1.41,0.2,2.22,2.62,5.44,6.04,5.64,6.44,6.04,7.65,111.97,47210610,20230213
86294126,456152,468493,16,0.62,3.29,3.91,4.11,5.14,4.11,3.09,8.85,9.87,11.73,18.31,13.99,14.4,21.18,1.65,3.09,5.55,5.55,4.53,2.67,4.53,5.76,12.14,15.43,12.96,15.84,11.52,22.42,246.24,47210610,20230215
86294127,456152,468543,14,0.4,2.24,5.09,4.27,3.46,4.27,2.24,6.71,7.73,11.8,14.04,10.17,8.75,12.81,1.22,1.63,6.71,4.88,4.88,3.25,3.46,5.29,9.76,11.39,9.56,10.98,8.54,15.46,190.99,47210610,20230202
86294129,456152,468643,14,0.56,3.65,5.9,5.34,7.02,5.34,3.65,5.34,8.99,15.17,17.7,13.21,14.05,29.23,2.25,2.81,6.18,8.15,6.74,2.53,6.74,5.62,9.83,20.23,14.89,18.26,14.61,22.48,276.47,47210610,20230226
85879686,454452,467793,17,1.58,4.89,3.26,3.63,3.3,3.12,3.3,3.68,5.07,5.12,4.47,4.1,2.19,2.98,1.72,6.38,3.26,3.26,3.49,3.07,2.79,4.65,6.56,6.1,5.35,3.44,2.56,3.26,106.58,47210620,20230217
85916253,454602,467793,20,0.93,2.68,3.15,3.15,3.1,3.33,3.98,5.37,5.92,4.81,4.4,3.56,1.53,2.55,1.34,3.15,3.06,3.89,3.52,3.19,2.55,5.97,6.16,6.06,4.81,3.47,1.94,3.1,100.67,47210620,20230226
86025996,455052,469893,16,0.37,1.86,2.91,3.43,3.35,2.61,3.2,4.62,5.21,5.81,5.74,5.89,4.77,6.42,0.22,1.86,2.53,3.95,2.76,2.31,1.94,4.1,4.77,5.59,4.54,6.26,3.8,7.37,108.19,47210550,20230214
86269750,456052,468593,17,1.68,2.31,4.41,3.57,7.56,3.99,2.73,5.88,10.08,14.5,16.39,12.61,13.87,21.63,1.05,1.47,7.35,6.3,6.09,4.62,3.78,6.51,8.82,15.76,11.98,15.55,12.19,18.48,241.16,47210610,20230226
86281938,456102,468543,20,0.73,3.65,5.6,11.69,9.26,7.06,3.9,12.18,15.1,17.78,22.16,15.83,10.72,21.67,0.49,3.65,7.79,9.26,6.58,3.17,6.58,5.11,13.15,18.51,16.81,14.37,14.37,22.89,300.06,47210610,20230210
86294126,456152,468493,9,1.44,1.85,2.88,3.7,4.11,4.73,3.29,7.2,8.02,11.52,15.43,10.08,9.67,15.02,1.03,1.23,4.53,3.29,6.38,1.65,3.29,4.53,7.61,11.52,8.02,12.14,11.52,15.22,190.9,47210610,20230221
86294128,456152,468593,13,0.49,1.35,1.64,2.03,2.7,1.64,1.83,4.34,3.57,6.66,8.68,6.94,5.4,9.75,0.78,1.25,2.12,2.51,2.03,1.83,1.83,3.09,4.82,7.52,5.69,5.88,4.24,10.42,111.03,47210610,20230220
86294128,456152,468593,21,0.58,1.06,2.22,2.31,2.99,2.41,1.25,5.01,5.01,7.42,6.74,5.39,5.11,8.86,0.68,1.16,2.22,2.6,2.31,1.64,2.5,2.7,4.05,5.97,5.88,5.88,6.17,8.86,108.98,47210610,20230224
86294129,456152,468643,6,0.56,0.56,3.62,2.78,2.23,2.23,3.34,4.45,6.4,7.24,8.63,7.8,6.96,9.19,0.0,0.56,2.51,2.51,2.23,1.11,0.84,3.34,4.73,5.85,4.45,6.68,7.8,9.75,118.35,47210610,20230210
86281938,456102,468543,9,1.71,2.2,3.42,4.39,4.88,5.62,3.91,8.55,9.52,13.67,18.31,11.96,11.48,17.82,1.22,1.46,5.37,3.91,7.57,1.95,3.91,5.37,9.03,13.67,9.52,14.41,13.67,18.06,226.56,47210610,20230221
86281939,456102,468593,22,0.81,2.45,5.5,6.73,6.73,5.71,5.3,6.52,7.34,12.43,11.82,12.02,7.95,17.32,1.22,1.43,4.48,3.87,5.09,2.65,4.08,4.48,9.37,10.19,11.0,12.84,13.04,16.3,208.67,47210610,20230221
86294127,456152,468543,19,1.02,2.24,4.88,4.68,6.92,4.68,3.25,8.14,11.39,16.27,17.49,15.66,10.78,21.36,0.81,1.22,6.3,4.47,5.49,4.47,4.07,5.08,9.76,16.27,11.19,14.85,13.63,22.78,249.15,47210610,20230223
85916253,454602,467793,20,1.21,2.46,3.01,3.66,3.29,3.9,4.78,5.52,5.89,4.64,4.22,3.39,1.9,2.36,1.34,3.2,3.39,3.01,3.71,3.39,3.11,5.29,6.54,5.57,4.5,4.41,1.86,2.92,102.47,47210620,20230212
86269750,456052,468593,19,1.48,3.59,6.33,6.75,6.12,8.02,5.06,6.75,13.71,17.93,17.72,12.23,10.55,21.31,1.9,2.95,5.27,4.22,4.22,3.59,4.22,5.48,12.87,15.19,11.39,14.98,12.87,19.62,256.32,47210610,20230228
86269750,456052,468593,23,0.21,2.1,4.41,3.78,6.93,3.15,1.26,6.09,7.56,11.98,13.66,8.19,8.61,17.85,0.84,1.05,2.94,4.41,4.62,1.89,2.1,3.78,6.72,9.87,8.4,8.82,9.03,15.54,175.79,47210610,20230219
86269750,456052,468593,23,1.05,2.95,5.05,2.95,2.74,6.11,1.9,7.79,7.37,13.69,14.53,10.74,9.06,17.9,1.47,1.68,4.0,3.79,4.0,2.53,4.84,4.21,7.16,11.16,11.37,12.43,10.74,16.0,199.21,47210610,20230224
