정류장ID,정류장명,위도,경도
356000840,창진동,36.84038,128.585846
356000872,창진동,36.840132,128.58905
356000839,창진동,36.840236,128.589009
356000873,창진동,36.843022,128.593742
356000653,창진동,36.846134,128.594844
356000638,창진동,36.846212,128.594939
356000838,창진동,36.843117,128.593671
356000871,창진동,36.840281,128.585792
356000531,천본1리,36.788199,128.729784
356000530,천본1리,36.788087,128.729756
356000528,천본1리.전진골,36.781894,128.722016
356000533,천본1리.전진골,36.781751,128.722101
356000560,천본1리.전진골,36.791279,128.720478
356000545,천본1리.전진골,36.79125,128.720607
356000527,천본2리,36.773211,128.713386
356000534,천본2리,36.773186,128.713255
356000465,철도공사,36.8071,128.626277
356000806,철도공사건너,36.806589,128.624915
356000684,청구2리,36.940391,128.586256
356000425,청구2리.선돌,36.936195,128.585548
356000397,청구2리.선돌,36.935989,128.585562
356000051,청구아파트앞,36.823317,128.635477
356000052,청구아파트후문,36.82188,128.634627
356000182,초계골,36.779339,128.646231
356000168,초계골,36.779232,128.646209
356000448,코아루아파트,36.832743,128.636686
356000117,탄산리.원암,36.733978,128.613737
356000115,탄산리.원암,36.733941,128.613607
356000430,태장2리,36.91122,128.558426
356000392,태장2리,36.911188,128.558563
356000431,태장3리,36.900822,128.551704
356000391,태장3리,36.900771,128.551762
356000657,태장리,36.915927,128.543402
356000659,태장리,36.916007,128.54331
356000224,토계,36.759427,128.576259
356000206,토계,36.759535,128.576225
356000092,파머스마켓,36.795519,128.631915
356000229,파지리,36.796259,128.556689
356000698,판타시온리조트,36.865121,128.60169
356000669,판타시온리조트,36.86523,128.601691
356000477,평은,36.760841,128.68848
356000499,평은,36.761343,128.688969
356000526,평은리,36.763981,128.698282
356000535,평은리,36.764066,128.698194
356000536,평은리,36.761843,128.696276
356000525,평은리,36.761745,128.696334
356000523,평은면사무소,36.757941,128.68868
356000506,평은정류장,36.740655,128.67261
356000511,평은정류장,36.740597,128.672736
356000269,풍기성심요양병원,36.868175,128.535963
356000277,풍기역,36.873088,128.524149
356000254,풍기역앞,36.871763,128.523548
356000347,풍기온천,36.888014,128.478489
356000252,풍기읍,36.872973,128.528102
356000246,풍기읍,36.872958,128.528184
356000266,풍기읍사무소.풍기보건지소,36.866759,128.526621
356000245,풍기읍오거리,36.870963,128.526206
356000253,풍기인삼시장,36.873074,128.524046
356000388,풍기인삼시장,36.888347,128.539685
356000434,풍기인삼시장,36.888426,128.539591
356000302,필두,36.831542,128.587952
356000340,필두,36.83148,128.587839
356000292,하촌,36.782033,128.500823
356000287,하촌,36.782091,128.500698
356000293,하촌1리,36.789019,128.500767
356000286,하촌1리,36.78903,128.500634
356000291,하촌2리,36.778156,128.500477
356000288,하촌2리,36.778155,128.500349
356000289,하촌3리,36.767105,128.5009
356000290,하촌3리,36.767143,128.501038
356000660,하태장,36.908946,128.545174
356000656,하태장,36.909063,128.545233
356000048,한국폴리텍대학,36.803386,128.604215
356000001,한국폴리텍대학,36.803019,128.603913
356000251,한양아파트,36.875655,128.53221
356000247,한양아파트,36.8756,128.532326
356000470,한우리동물병원,36.82782,128.633145
356000553,한일교회,36.816854,128.647266
