x,y
464542,472150
463359,471702
463357,471714
451971,477666
451961,477660
452395,476087
453050,476220
452403,476097
453038,476227
456917,474304
456929,474306
443116,476107
443130,476120
443579,475977
443583,475987
453637,471412
453639,471425
452446,471166
452732,471140
452728,471152
453148,471463
453244,471809
453253,471818
453142,471474
452441,471155
465328,465464
465325,465452
464640,464759
464648,464743
464495,465799
464506,465796
463877,463790
463865,463787
456076,467496
455955,467438
452414,482264
452354,481798
452355,481775
456885,469301
456810,469141
457877,464427
457875,464415
456986,470347
455009,459375
454998,459370
449954,479012
449966,479008
449362,477855
449367,477849
448612,479527
448604,479535
451645,462178
451642,462190
456588,466214
449874,466254
453841,473920
453841,473932
461663,462401
461707,462457
462536,462756
462528,462765
462359,462517
462364,462506
461683,462079
460262,460151
460273,460144
447979,474224
446923,474763
446870,474616
442844,476398
447275,474752
447283,474751
447147,474062
447108,474528
446914,474762
448298,476464
448290,476473
452640,470186
452629,470179
444896,464648
444885,464654
444887,465423
444875,465424
444868,464218
444856,464218
444912,462992
444924,462996
448775,478753
448780,478766
454110,467071
454083,467030
447640,475052
447650,475046
456674,469799
457941,468591
457939,468579
446776,471150
446781,471139
456204,468726
454271,469196
454964,468294
454800,468331
454976,468272
454823,468341
454738,470522
455450,467154
451211,460960
451199,460958
452040,462784
452040,462795
452028,462788
452348,462748
452356,462757
452903,462385
453187,462319
452901,462397
452338,461697
452330,461708
447806,474132
447803,474120
460466,484141
460454,484138
451671,463018
451661,463012
456880,468932
456403,468773
441099,478150
441121,478184
457168,470286
